Sr. No.,Academic Year,Month od school onboarding,Region,City,Channel,POC,School Name,School and Program,Program,Grade,Board,Fees Range,Strength Range,Strength,Rev/ student,Sum Product,Total Business,Category,Full year/ mid year
55,25-26,Jul'24,South 1,Bangalore,Digital,Sudha,Martha's English School,Martha's English School-Communication,Communication,,State Board,LESS THAN 30K,Less than 300,270,1900,513000,5.13,Renewal-25-26,Full year
56,25-26,Sept'24,South 1,Hyderabad,Direct,Sameer Das,AVN Agastya International School,AVN Agastya International School-Communication,Communication,,ICSE,ABOVE 120K,Less than 300,400,1375,550000,5.50,New 25-26 - Dropped,Full year
57,25-26,Sept'24,South 2,Coimbatore,Event,Shafique,Carmel jyothi CMI Public School,Carmel jyothi CMI Public School-Communication,Communication,,CBSE,LESS THAN 30K,Less than 300,261,1454,379557,3.80,New-25-26,Full year
58,25-26,Sept'24,South 2,Coimbatore,Event,Shafique,Suka Bramha,Suka Bramha-Communication,Communication,,CBSE,30K-60K,Less than 300,83,2100,174300,1.74,Renewal-25-26,Full year
59,25-26,Oct'24,North,Delhi,Direct,Poonam,Sri Venkateswara International school,Sri Venkateswara International school-STEM,STEM,,CBSE,ABOVE 120K,751 - 1000,1352,1300,1757600,17.58,Renewal-25-26,Full year
60,25-26,Nov'24,West,Pune,Direct,Nisha,RKL Galaxy International School,RKL Galaxy International School-Communication,Communication,,CBSE,LESS THAN 30K,Above 1000,1767,690,1219230,12.19,Renewal-25-26,Full year
61,25-26,Nov'24,West,Pune,Direct,Nisha,RKL Galaxy International School,RKL Galaxy International School-Financial Literacy,Financial Literacy,,CBSE,LESS THAN 30K,501-750,697,690,480930,4.81,Renewal-25-26,Full year
62,25-26,Nov'24,South 2,Chennai,Direct,Gayathiri,Maria Matriculation Higher Secondary School,Maria Matriculation Higher Secondary School-Communication,Communication,,State Board,30K-60K,751 - 1000,850,1560,1326000,13.26,New-25-26,Full Year
63,25-26,Nov'24,South 2,Coimbatore,Event,Shafique,Sri National School,Sri National School-Communication,Communication,,CBSE,60K-90K,301 - 500,450,1624,730678,7.31,New-25-26,Full year
64,25-26,Dec'24,West,Pune,Channel Partner,Shantanu,Delhi International School,Delhi International School-Communication,Communication,,CBSE,60K-90K,Less than 300,200,1450,290000,2.90,New 25-26 - Dropped,Full year
65,25-26,Dec'24,West,Pune,Channel Partner,Shantanu,Delhi International School,Delhi International School-STEM,STEM,,CBSE,60K-90K,Less than 300,100,1450,295000,2.95,New-25-26,Full year
66,25-26,Dec'24,West,Pune,Channel Partner,Shantanu,Delhi International School,Delhi International School-Financial Literacy,Financial Literacy,,CBSE,60K-90K,Less than 300,100,1450,145000,1.45,New 25-26 - Dropped,Full year
68,25-26,Dec'24,North,Delhi,Event,Poonam,Hi-Tech World School,Hi-Tech World School-Communication,Communication,,CBSE,60K-90K,301 - 500,400,1200,480000,4.80,New 25-26 - Dropped,Full year
69,25-26,Dec'24,North,Delhi,Event,Poonam,Hi-Tech World School,Hi-Tech World School-STEM,STEM,,CBSE,60K-90K,301 - 500,474,1500,711000,7.11,New-25-26,Full year
70,25-26,Dec'24,West,Pune,Channel Partner,Shantanu,Apex International School,Apex International School-Communication,Communication,,CBSE,30K-60K,Above 1000,1200,1050,1260000,12.60,New-25-26,Full year
71,25-26,Dec'24,West,Pune,Channel Partner,Shantanu,Apex International School,Apex International School-Financial Literacy,Financial Literacy,,CBSE,30K-60K,301 - 500,500,1050,525000,5.25,New-25-26,Full year
72,25-26,Dec'24,West,Pune,Channel Partner,Shantanu,Aditya International School,Aditya International School-Communication,Communication,,CBSE,30K-60K,751 - 1000,800,1200,960000,9.60,New-25-26,Full year
73,25-26,Dec'24,South 1,Hyderabad,Pre Sales,Thanuja,Insight international School,Insight international School-Communication,Communication,,CBSE,90K-120K,301 - 500,450,1369,616050,6.16,New-25-26,Full year
74,25-26,Dec'24,South 1,Hyderabad,Event,Thanuja,Kennedy High The magnet School,Kennedy High The magnet School-Communication,Communication,,CBSE,90K-120K,Above 1000,1200,1050,1260000,12.60,New-25-26,Full year
75,25-26,Dec'24,West,Mumbai,Direct,Rohit Gadre,NR Bhagat,NR Bhagat-Communication,Communication,,State Board,LESS THAN 30K,301 - 500,400,1500,600000,6.00,New 25-26 - Dropped,Full year
76,25-26,Dec'24,South 2,Chennai,Event,Gayathiri,Nathella vidyodaya,Nathella vidyodaya-Communication,Communication,,CBSE,60K-90K,Less than 300,250,1350,337500,3.38,New-25-26,Full year
77,25-26,Dec'24,South 2,Chennai,Event,Gayathiri,Nathella vidyodaya,Nathella vidyodaya-STEM,STEM,,CBSE,60K-90K,Less than 300,300,1350,405000,4.05,New-25-26,Full year
78,25-26,Dec'24,South 2,Chennai,Event,Gayathiri,Nathella vidyodaya,Nathella vidyodaya-Financial Literacy,Financial Literacy,,CBSE,60K-90K,Less than 300,200,1350,270000,2.70,New-25-26,Full year
79,25-26,Dec'24,West,Mumbai,Direct,Ashish,Holy Angels English High School,Holy Angels English High School-Communication,Communication,,State Board,LESS THAN 30K,301 - 500,475,1200,570000,5.70,Renewal 25-26 - Dropped,Full year
80,25-26,Dec'24,West,Mumbai,Direct,Ashish,Holy Angels English High School,Holy Angels English High School-Financial Literacy,Financial Literacy,,State Board,LESS THAN 30K,301 - 500,475,1200,570000,5.70,Renewal 25-26 - Dropped,Full year
